08092024092536, 14,  "Stanley #2 Philips Screwdriver", 6.95, 1, 0.0, 6.95, septiembre 08, 2024, 09:25:36 p.m. EST
08092024092536, 2,  "Tamiya 2oz paint - ferrari red", 2.39, 1, 0.0, 2.39, septiembre 08, 2024, 09:25:36 p.m. EST

08092024092705, 228865X,  "3M Super 33+ electrical tape box 10", 32.5, 1, 0.0, 32.5, septiembre 08, 2024, 09:27:05 p.m. EST
08092024092705, 245667,  "Colnago jersey - size 6", 120.0, 1, 0.0, 120.0, septiembre 08, 2024, 09:27:05 p.m. EST
08092024092705, 67YX22,  "DTM Calendar for 2025", 14.95, 2, 0.0, 29.9, septiembre 08, 2024, 09:27:05 p.m. EST
08092024092705, 14909,  "1/4in - 28tpi SS nuts", 1.0, 2, 0.0, 2.0, septiembre 08, 2024, 09:27:05 p.m. EST0

8092024101239, 582913,  "Look Keo 2 Max pedals", 135.0, 1, 0.0, 135.0, septiembre 08, 2024, 10:12:39 p.m. EST
08092024101239, 4499120,  "M&Ms dark chocolate w/peanuts - 3oz", 2.5, 3, 0.0, 7.5, septiembre 08, 2024, 10:12:39 p.m. EST
08092024101239, 19981,  "Pledge furniture polish 13oz", 6.5, 1, 0.0, 6.5, septiembre 08, 2024, 10:12:39 p.m. EST
08092024101239, 2234983,  "Wilson NCAA official softball - 1 doz", 55.0, 4, 0.0, 220.0, septiembre 08, 2024, 10:12:39 p.m. EST

08092024104750, 298765,  "3x5 index cards - 100 count", 2.25, 1, 0.0, 2.25, septiembre 08, 2024, 10:47:50 p.m. EST
08092024104750, 234887,  "2024 CSX train calendar", 12.95, 2, 0.0, 25.9, septiembre 08, 2024, 10:47:50 p.m. EST
08092024104750, 198,  "Box of 10 Sharpie Roller 0.5mm", 6.5, 3, 0.0, 19.5, septiembre 08, 2024, 10:47:50 p.m. EST
08092024104750, 2190,  "Hefty 30 gal with handles - box 40", 19.0, 1, 0.0, 19.0, septiembre 08, 2024, 10:47:50 p.m. EST

08092024114248, 14,  "Stanley #2 Philips Screwdriver", 6.95, 1, 0.0, 6.95, septiembre 08, 2024, 11:42:48 p.m. EST
08092024114248, 2,  "Tamiya 2oz paint - ferrari red", 2.39, 3, 0.0, 7.17, septiembre 08, 2024, 11:42:48 p.m. EST